Vocabulary,P(not Spam),P(Spam)
health,0.0017707662588538314,0.0007221259387637204
therapy,0.0011268512556342563,0.00014442518775274407
sleep,0.0011268512556342563,0.00014442518775274407
canât,0.0009658725048293626,0.00014442518775274407
cognitive,0.0011268512556342563,0.00014442518775274407
101,0.0011268512556342563,0.00014442518775274407
learn,0.0019317450096587251,0.0004332755632582322
behavioral,0.0011268512556342563,0.00014442518775274407
insomnia,0.00128783000643915,0.00014442518775274407
account,0.005634256278171281,0.002310803004043905
signin,0.000643915003219575,0.00014442518775274407
6,0.0009658725048293626,0.0005777007510109763
360,0.0003219575016097875,0.0004332755632582322
24,0.000643915003219575,0.0005777007510109763
confirmation,0.0016097875080489374,0.00028885037550548814
lpl,0.0004829362524146813,0.00014442518775274407
interview,0.0014488087572440437,0.0011554015020219526
financial,0.0009658725048293626,0.0004332755632582322
committee,0.0008048937540244687,0.00014442518775274407
signup,0.0003219575016097875,0.00014442518775274407
leetcode,0.000643915003219575,0.00014442518775274407
digest,0.000643915003219575,0.0004332755632582322
choosing,0.0003219575016097875,0.00014442518775274407
third,0.0003219575016097875,0.00014442518775274407
fifth,0.0003219575016097875,0.00014442518775274407
computer,0.0014488087572440437,0.0004332755632582322
graphics,0.0003219575016097875,0.00014442518775274407
can,0.0004829362524146813,0.002455228191796649
mercer,0.0003219575016097875,0.00014442518775274407
company,0.0008048937540244687,0.00014442518775274407
details,0.0004829362524146813,0.00028885037550548814
list,0.0008048937540244687,0.00028885037550548814
final,0.0009658725048293626,0.0008665511265164644
early,0.000643915003219575,0.0004332755632582322
fike,0.0008048937540244687,0.00014442518775274407
center,0.0011268512556342563,0.00028885037550548814
closure,0.0004829362524146813,0.00014442518775274407
leadership,0.0011268512556342563,0.00014442518775274407
siemens,0.0003219575016097875,0.00014442518775274407
program,0.0014488087572440437,0.0010109763142692085
development,0.000643915003219575,0.00014442518775274407
2,0.0009658725048293626,0.002021952628538417
leaders,0.000643915003219575,0.00014442518775274407
25,0.0008048937540244687,0.0008665511265164644
global,0.0008048937540244687,0.00028885037550548814
september,0.0014488087572440437,0.0015886770652801848
forum,0.0008048937540244687,0.00014442518775274407
inaugural,0.000643915003219575,0.00014442518775274407
campus,0.0020927237604636186,0.0005777007510109763
ambassador,0.0004829362524146813,0.00028885037550548814
hacks,0.0003219575016097875,0.00014442518775274407
applications,0.0008048937540244687,0.00028885037550548814
pearl,0.0003219575016097875,0.00014442518775274407
places,0.0003219575016097875,0.00014442518775274407
stay,0.0004829362524146813,0.00028885037550548814
tybee,0.0003219575016097875,0.00014442518775274407
aws,0.0011268512556342563,0.00028885037550548814
approved,0.000643915003219575,0.00028885037550548814
educate,0.000643915003219575,0.00014442518775274407
multiple,0.0003219575016097875,0.00028885037550548814
motorcycle,0.0003219575016097875,0.00014442518775274407
crime,0.0003219575016097875,0.0004332755632582322
prevention,0.0003219575016097875,0.00014442518775274407
thefts,0.0003219575016097875,0.00014442518775274407
329,0.0003219575016097875,0.0004332755632582322
appreciated,0.0003219575016097875,0.00014442518775274407
hire,0.0003219575016097875,0.00028885037550548814
feedback,0.00128783000643915,0.00014442518775274407
survey,0.0014488087572440437,0.0008665511265164644
â,0.0014488087572440437,0.00028885037550548814
newsletter,0.0014488087572440437,0.0007221259387637204
upic,0.0003219575016097875,0.00014442518775274407
october,0.0014488087572440437,0.0007221259387637204
frade,0.0003219575016097875,0.00014442518775274407
savings,0.0008048937540244687,0.0012998266897746968
furniture,0.0003219575016097875,0.00014442518775274407
bonus,0.000643915003219575,0.0008665511265164644
ends,0.000643915003219575,0.0008665511265164644
ebill,0.0003219575016097875,0.00014442518775274407
america,0.0004829362524146813,0.00028885037550548814
changed,0.0009658725048293626,0.00014442518775274407
been,0.0025756600128783,0.0012998266897746968
password,0.0011268512556342563,0.00028885037550548814
has,0.003219575016097875,0.002021952628538417
github,0.0008048937540244687,0.00014442518775274407
verify,0.00128783000643915,0.0004332755632582322
device,0.0011268512556342563,0.0007221259387637204
steam,0.0011268512556342563,0.00014442518775274407
wishlist,0.0004829362524146813,0.00014442518775274407
sunday,0.000643915003219575,0.0005777007510109763
gps,0.0003219575016097875,0.00028885037550548814
929,0.0003219575016097875,0.00028885037550548814
deloitte,0.0003219575016097875,0.00028885037550548814
consulting,0.0003219575016097875,0.00028885037550548814
turbotax,0.0003219575016097875,0.00014442518775274407
vs,0.0008048937540244687,0.00014442518775274407
free,0.0011268512556342563,0.005054881571346043
more,0.0024146812620734065,0.004766031195840554
discussion,0.000643915003219575,0.00014442518775274407
learning,0.0014488087572440437,0.0005777007510109763
deep,0.0003219575016097875,0.00014442518775274407
cancelled,0.0022537025112685126,0.00014442518775274407
callin,0.000643915003219575,0.00014442518775274407
21,0.0008048937540244687,0.00014442518775274407
walkin,0.000643915003219575,0.00028885037550548814
hours,0.0014488087572440437,0.0012998266897746968
active,0.0003219575016097875,0.00014442518775274407
funds,0.0004829362524146813,0.00014442518775274407
schwab,0.0004829362524146813,0.00014442518775274407
annual,0.0022537025112685126,0.0004332755632582322
equity,0.0003219575016097875,0.00014442518775274407
pass,0.0011268512556342563,0.00014442518775274407
was,0.0011268512556342563,0.0004332755632582322
wondering,0.0008048937540244687,0.00014442518775274407
along,0.0008048937540244687,0.00014442518775274407
could,0.0008048937540244687,0.00028885037550548814
gsg,0.00128783000643915,0.00014442518775274407
things,0.0008048937540244687,0.0007221259387637204
acmcsta,0.0003219575016097875,0.00014442518775274407
encourage,0.0003219575016097875,0.00014442518775274407
apply,0.0008048937540244687,0.0012998266897746968
high,0.0004829362524146813,0.00014442518775274407
prize,0.0003219575016097875,0.00014442518775274407
students,0.0019317450096587251,0.0014442518775274408
cutlerbell,0.0003219575016097875,0.00014442518775274407
merry,0.0003219575016097875,0.00014442518775274407
year,0.0004829362524146813,0.0014442518775274408
jianbo,0.0003219575016097875,0.00014442518775274407
christmas,0.0003219575016097875,0.00014442518775274407
happy,0.0004829362524146813,0.00014442518775274407
bag,0.0004829362524146813,0.00014442518775274407
limited,0.0004829362524146813,0.0005777007510109763
earn,0.0008048937540244687,0.0005777007510109763
miles,0.0003219575016097875,0.00014442518775274407
flights,0.0003219575016097875,0.00014442518775274407
natalie,0.0004829362524146813,0.00014442518775274407
60000,0.0003219575016097875,0.00014442518775274407
first,0.0008048937540244687,0.0008665511265164644
delta,0.0003219575016097875,0.00014442518775274407
series,0.000643915003219575,0.00028885037550548814
tshirt,0.0004829362524146813,0.00028885037550548814
info,0.0009658725048293626,0.0004332755632582322
plastic,0.0004829362524146813,0.00028885037550548814
master,0.0003219575016097875,0.00014442518775274407
setting,0.0003219575016097875,0.00028885037550548814
transformation,0.0003219575016097875,0.00014442518775274407
kpmg,0.0003219575016097875,0.00014442518775274407
gitam,0.0003219575016097875,0.00014442518775274407
online,0.0014488087572440437,0.0010109763142692085
preinterview,0.0003219575016097875,0.00014442518775274407
important,0.0014488087572440437,0.0011554015020219526
coop,0.0004829362524146813,0.00014442518775274407
e,0.000643915003219575,0.00028885037550548814
office,0.000643915003219575,0.00028885037550548814
outline,0.0003219575016097875,0.00014442518775274407
1,0.0024146812620734065,0.005343731946851531
exam,0.0009658725048293626,0.00014442518775274407
available,0.002736638763683194,0.0014442518775274408
no,0.0008048937540244687,0.0007221259387637204
proposed,0.0004829362524146813,0.00014442518775274407
legislation,0.0003219575016097875,0.00014442518775274407
club,0.0004829362524146813,0.0005777007510109763
sailing,0.0003219575016097875,0.00028885037550548814
dues,0.0003219575016097875,0.00014442518775274407
shipped,0.0004829362524146813,0.00028885037550548814
order,0.0022537025112685126,0.0010109763142692085
